Relation,relation_text,document
Version_of,"B-Version of 3.10, B-Application of InStat",1026.0
Developer_of,"B-Developer of GraphPad Software , Inc ., B-Application of InStat",1026.0
Abbreviation_of,"B-Abbreviation of CADD, B-Application of Combined Annotation Dependent Depletion",1027.0
Citation_of,"B-Citation of [86], B-Application of Combined Annotation Dependent Depletion",1027.0
Citation_of,"B-Citation of [85], B-Application of PolyPhen Annotation Dependent Depletion",1027.0
Developer_of,"B-Developer of Microsoft, B-OperatingSystem of Windows",1028.0
Version_of,"B-Version of 7, B-OperatingSystem of Windows",1028.0
Developer_of,"B-Developer of SPSS, B-Application of Statistical Package for Social Science",1029.0
Version_of,"B-Version of 19.0, B-Application of Statistical Package for Social Science",1029.0
Version_of,"B-Version of 3.02, B-Application of EPI Info",1030.0
Version_of,"B-Version of 14.2, B-Application of Stata",1030.0
Developer_of,"B-Developer of R Foundation, B-ProgrammingEnvironment of R",1031.0
Citation_of,"B-Citation of [30], B-ProgrammingEnvironment of R",1031.0
Version_of,"B-Version of 3.2.2, B-ProgrammingEnvironment of R",1031.0
Version_of,"B-Version of 11, B-Application of Stata",1032.0
Developer_of,"B-Developer of StataCorp LP ., B-Application of Stata",1032.0
no_relation,"O of O, O of O",1033.0
Abbreviation_of,"B-Abbreviation of SPSS, B-Application of Statistical Package for the Social Sciences",1034.0
Version_of,"B-Version of 19.0, B-Application of Statistical Package for the Social Sciences",1034.0
URL_of,"B-URL of http://hmmer.janelia.org, B-Application of HMMER",1035.0
Version_of,"B-Version of 21, B-Application of SPSS Statistics",1036.0
Developer_of,"B-Developer of IBM Corporation, B-Application of SPSS Statistics",1036.0
Developer_of,"B-Developer of IBM Corporation, B-Application of SPSS Statistics",1036.0
no_relation,"O of O, O of O",1037.0
Developer_of,"B-Developer of Microsoft Corp . International, B-Application of Excel",1038.0
Developer_of,"B-Developer of Microsoft Corp . International, B-Application of Word",1038.0
Developer_of,"B-Developer of Microsoft Corp . International, B-Application of MSOffice",1038.0
Developer_of,"B-Developer of QSR International, B-Application of NVivo",1038.0
Version_of,"B-Version of 8.0, B-Application of JMP",1039.0
Developer_of,"B-Developer of SAS Institute Inc ., B-Application of JMP",1039.0
Citation_of,"B-Citation of [64], B-Application of C2",1040.0
Abbreviation_of,"B-Abbreviation of RAST, B-Application of Rapid Annotation using Subsystem Technology",1041.0
URL_of,"B-URL of http://rast.nmpdr.org/, B-Application of Rapid Annotation using Subsystem Technology",1041.0
no_relation,"O of O, O of O",1042.0
Developer_of,"B-Developer of StataCorp LP, B-Application of Stata",1043.0
Version_of,"B-Version of 13, B-Application of Stata",1043.0
no_relation,"O of O, O of O",1044.0
Version_of,"B-Version of 0.2.5, B-PlugIn of Nilearn",1045.0
Citation_of,"B-Citation of [30], B-PlugIn of Nilearn",1045.0
PlugIn_of,"B-PlugIn of Nilearn, B-ProgrammingEnvironment of Python",1045.0
Version_of,"B-Version of 2.7, B-ProgrammingEnvironment of Python",1045.0
Developer_of,"B-Developer of GraphPad Software , Inc ., B-Application of Prism",1046.0
Release_of,"B-Release of 2014, B-Application of Prism",1046.0
Version_of,"B-Version of 6.0f, B-Application of Prism",1046.0
Citation_of,"B-Citation of [17], B-ProgrammingEnvironment of R",1047.0
Version_of,"B-Version of 2.15, B-ProgrammingEnvironment of R",1047.0
Citation_of,"B-Citation of [18], B-PlugIn of BioConductor",1047.0
Version_of,"B-Version of 2.10, B-PlugIn of BioConductor",1047.0
PlugIn_of,"B-PlugIn of BioConductor, B-ProgrammingEnvironment of R",1047.0
Citation_of,"B-Citation of [17], B-Application of ImageJ",1048.0
Citation_of,"B-Citation of [16], B-Application of Immunoratio",1048.0
Developer_of,"B-Developer of IBM, B-Application of SPSS",1049.0
Version_of,"B-Version of 20, B-Application of SPSS",1049.0
no_relation,"O of O, O of O",1050.0
Version_of,"B-Version of 9.2, B-Application of SAS",1051.0
Developer_of,"B-Developer of SAS Institute, B-Application of SAS",1051.0
PlugIn_of,"B-PlugIn of clam, B-ProgrammingEnvironment of R",1052.0
Citation_of,"B-Citation of [53], B-PlugIn of clam",1052.0
no_relation,"O of O, O of O",1053.0
no_relation,"O of O, O of O",1054.0
Developer_of,"B-Developer of IBM, B-Application of SPSS Statistics",1055.0
Version_of,"B-Version of 20.0, B-Application of SPSS Statistics",1055.0
no_relation,"O of O, O of O",1056.0
Version_of,"B-Version of 11.0, B-Application of Stata",1057.0
Developer_of,"B-Developer of StataCorp, B-Application of Stata",1057.0
Version_of,"B-Version of 16.0, B-Application of SPSS",1058.0
Version_of,"B-Version of 8.5, B-Application of LISREL",1058.0
Developer_of,"B-Developer of SPSS Inc ., B-Application of SPSS",1058.0
Extension_of,"B-Extension of 64 - bit, B-OperatingSystem of Linux",1059.0
URL_of,"B-URL of http://www.cellXpress.org, B-Application of cellXpress",1059.0
Extension_of,"B-Extension of 64 - bit, B-OperatingSystem of Windows",1059.0
Version_of,"B-Version of II, B-Application of ADAPT",1060.0
Citation_of,"B-Citation of [44], B-Application of ADAPT",1060.0
no_relation,"O of O, O of O",1061.0
Abbreviation_of,"B-Abbreviation of ART, B-PlugIn of Artifact Rejection Toolbox",1062.0
URL_of,"B-URL of http://www.nitrc.org/projects/artifact_detect/, B-PlugIn of Artifact Rejection Toolbox",1062.0
Citation_of,"B-Citation of [48], B-Application of SPSS",1063.0
Version_of,"B-Version of 22, B-Application of SPSS",1063.0
Citation_of,"B-Citation of [12], B-Application of GENEPOP",1064.0
Version_of,"B-Version of 3.1, B-Application of GENEPOP",1064.0
Citation_of,"B-Citation of [62], B-Application of SPAGeDI",1065.0
Version_of,"B-Version of 1.3, B-Application of SPAGeDI",1065.0
Developer_of,"B-Developer of IBM, B-Application of SPSS",1066.0
Version_of,"B-Version of 21.0, B-Application of SPSS",1066.0
Developer_of,"B-Developer of RTI International, B-Application of SUDAAN",1067.0
Version_of,"B-Version of 11.0, B-Application of SUDAAN",1067.0
Developer_of,"B-Developer of RTI Institute International, B-Application of SUDAAN",1067.0
Version_of,"B-Version of 11.0.1, B-Application of SUDAAN",1067.0
Developer_of,"B-Developer of SAS Institute International, B-Application of SAS",1067.0
Version_of,"B-Version of 9.3, B-Application of SAS",1067.0
License_of,"B-License of GNU General Public License, B-PlugIn of ProDy",1068.0
URL_of,"B-URL of http://www.csb.pitt.edu/ProDy/, B-PlugIn of ProDy",1068.0
Abbreviation_of,"B-Abbreviation of PASW, B-Application of SPSS",1069.0
Developer_of,"B-Developer of SPSS Inc ., B-Application of SPSS",1069.0
Version_of,"B-Version of 17, B-Application of SPSS",1069.0
no_relation,"O of O, O of O",1070.0
URL_of,"B-URL of http://www.mrc-bsu.cam.ac.uk/bugs/, B-Application of WinBugs",1071.0
Version_of,"B-Version of 2.1 - 16, B-PlugIn of R 2WinBUGS",1071.0
Version_of,"B-Version of 1.4 - 16, B-Application of WinBugs",1071.0
Citation_of,"B-Citation of [36], B-Application of blast",1072.0
Developer_of,"B-Developer of Systems Inc ., B-Application of Ingenuity Pathway Analysis",1073.0
Abbreviation_of,"B-Abbreviation of IPA, B-Application of Ingenuity Pathway Analysis",1073.0
PlugIn_of,"B-PlugIn of metareg, B-Application of Stata",1074.0
Citation_of,"B-Citation of [44], B-PlugIn of metareg",1074.0
Release_of,"B-Release of 2017b, B-ProgrammingEnvironment of MATLAB",1075.0
Specification_of,"B-ProgrammingEnvironment of MATLAB, B-ProgrammingEnvironment of MATLAB",1075.0
Developer_of,"B-Developer of The MathWorks , Inc ., B-ProgrammingEnvironment of MATLAB",1075.0
no_relation,"O of O, O of O",1076.0
Version_of,"B-Version of 4.25, B-Application of PCORD",1077.0
Citation_of,"B-Citation of [19], B-Application of PCORD",1077.0
PlugIn_of,"B-PlugIn of FunciSNP, B-PlugIn of Bioconductor",1078.0
URL_of,"B-URL of bioconductor.org, B-PlugIn of Bioconductor",1078.0
Version_of,"B-Version of 3.7, B-Application of Modeltest",1079.0
Citation_of,"B-Citation of [50], B-Application of Modeltest",1079.0
Version_of,"B-Version of 13, B-Application of Stata",1080.0
Developer_of,"B-Developer of StataCorp, B-Application of Stata",1080.0
Citation_of,"B-Citation of [34], B-Application of QuickPALM",1081.0
URL_of,"B-URL of http://www.pymvpa.org, B-PlugIn of PyMVPA",1082.0
Citation_of,"B-Citation of [45], B-PlugIn of PyMVPA",1082.0
Developer_of,"B-Developer of Mathworks Inc ., B-ProgrammingEnvironment of MATLAB",1083.0
Version_of,"B-Version of 8, B-Application of SPM",1083.0
Developer_of,"B-Developer of Wellcome Department of Cognitive Neurology Inc ., B-Application of SPM",1083.0
Release_of,"B-Release of 2007b, B-ProgrammingEnvironment of MATLAB",1083.0
URL_of,"B-URL of http://www.fil.ion.ucl.ac.uk/spm, B-Application of SPM",1083.0
PlugIn_of,"B-Application of Pickatlas, B-Application of SPM",1084.0
Citation_of,"B-Citation of [31], B-Application of Pickatlas",1084.0
Abbreviation_of,"B-Abbreviation of WFU, B-Developer of Wake Forest University",1084.0
Developer_of,"B-Developer of Wake Forest University, B-Application of Pickatlas",1084.0
Specification_of,"B-Application of JMP, B-Application of JMP",1085.0
Developer_of,"B-Developer of SAS Institute Inc ., B-Application of JMP",1085.0
Version_of,"B-Version of 7.0, B-Application of JMP",1085.0
no_relation,"O of O, O of O",1086.0
Version_of,"B-Version of 17.0, B-Application of Statistical Package for the Social Science",1087.0
Abbreviation_of,"B-Abbreviation of SPSS, B-Application of Statistical Package for the Social Science",1087.0
Developer_of,"B-Developer of Philips Healthcare, B-Application of Q - LAB",1088.0
Version_of,"B-Version of 6, B-Application of Q - LAB",1088.0
URL_of,"B-URL of http://code.google.com/p/pyms/, B-PlugIn of PyMS",1089.0
Version_of,"B-Version of 2, B-License of GNU GPL",1089.0
License_of,"B-License of GNU GPL, B-PlugIn of PyMS",1089.0
Version_of,"B-Version of 11.2, B-Application of STATA",1090.0
Citation_of,"B-Citation of [18], B-Application of STATA",1090.0
Version_of,"B-Version of 9.3, B-Application of SAS",1091.0
Developer_of,"B-Developer of SAS Institute, B-Application of SAS",1091.0
Developer_of,"B-Developer of IBM, B-Application of SPSS Statistics",1092.0
Version_of,"B-Version of 25, B-Application of SPSS Statistics",1092.0
Version_of,"B-Version of 19, B-Application of SPSS",1093.0
Developer_of,"B-Developer of IBM, B-Application of SPSS",1093.0
Citation_of,"B-Citation of [ 16 , 17 ], B-PlugIn of Rcpp",1094.0
PlugIn_of,"B-PlugIn of Rhtslib, B-ProgrammingEnvironment of R + + + +",1094.0
PlugIn_of,"B-PlugIn of Rcpp, B-ProgrammingEnvironment of R + + + +",1094.0
Citation_of,"B-Citation of [18], B-PlugIn of Rhtslib",1094.0
Version_of,"B-Version of 0.4, B-Application of Primer 3 Input Local Alignment Search Tool",1095.0
Developer_of,"B-Developer of IBM Corp . MathWorks, B-Application of SPSS",1096.0
Version_of,"B-Version of 22.0, B-Application of SPSS",1096.0
Developer_of,"B-Developer of IBM Corp . MathWorks, B-Application of SPSS",1096.0
Release_of,"B-Release of R 2015a, B-ProgrammingEnvironment of MATLAB",1096.0
Version_of,"B-Version of 3.3.2, B-ProgrammingEnvironment of R",1096.0
URL_of,"B-URL of http://www.R-project.org/, B-ProgrammingEnvironment of R",1096.0
Citation_of,"B-Citation of [39], B-PlugIn of NumPy",1096.0
PlugIn_of,"B-PlugIn of NumPy, B-ProgrammingEnvironment of Python",1096.0
PlugIn_of,"B-PlugIn of SciPy, B-ProgrammingEnvironment of Python",1096.0
Developer_of,"B-Developer of The MathWorks, B-ProgrammingEnvironment of MATLAB",1096.0
no_relation,"O of O, O of O",1097.0
Version_of,"B-Version of 3.0, B-Application of Cluster",1098.0
Version_of,"B-Version of 7, B-OperatingSystem of Windows",1099.0
Version_of,"B-Version of Vista, B-OperatingSystem of Windows",1099.0
Version_of,"B-Version of XPProgramming, B-OperatingSystem of Windows",1099.0
Version_of,"B-Version of 1.0Project, B-Application of DCE @ urLAB Virtual Machine",1099.0
Version_of,"B-Version of 6.4, B-ProgrammingEnvironment of IDL",1099.0
License_of,"B-License of BSD license, B-Application of DCE @ urLAB Virtual Machine",1099.0
Version_of,"B-Version of 6.4, B-Application of IDL Virtual Machine",1099.0
Developer_of,"B-Developer of Microsoft, B-OperatingSystem of Windows",1099.0
URL_of,"B-URL of http://www.die.upm.es/im/archives/DCEurLAB/Operating, B-Application of DCE @ urLAB Virtual Machine",1099.0
PlugIn_of,"B-PlugIn of consensus MIBC, B-ProgrammingEnvironment of R",1100.0
Citation_of,"B-Citation of [15], B-PlugIn of consensus MIBC",1100.0
PlugIn_of,"B-PlugIn of Brain Connectivity Toolbox, B-ProgrammingEnvironment of Matlab",1101.0
URL_of,"B-URL of http://www.brain-connectivity-toolbox.net/, B-PlugIn of Brain Connectivity Toolbox",1101.0
Citation_of,"B-Citation of [49], B-PlugIn of Brain Connectivity Toolbox",1101.0
Version_of,"B-Version of 7, B-Application of MEGA",1102.0
URL_of,"B-URL of https://www.python.org, B-ProgrammingEnvironment of Python",1103.0
Version_of,"B-Version of 2.7.5, B-ProgrammingEnvironment of Python",1103.0
Version_of,"B-Version of 3.11, B-Application of ARLEQUIN",1104.0
Citation_of,"B-Citation of [33], B-Application of ARLEQUIN",1104.0
URL_of,"B-URL of http://www.fil.ion.ucl.ac.uk/spm, B-Application of SPM",1105.0
Version_of,"B-Version of 8, B-Application of SPM",1105.0
Citation_of,"B-Citation of [1] , [2], B-Application of Bayesian Evolutionary Analysis by Sampling Trees",1106.0
Abbreviation_of,"B-Abbreviation of BEAST, B-Application of Bayesian Evolutionary Analysis by Sampling Trees",1106.0
no_relation,"O of O, O of O",1107.0
Citation_of,"B-Citation of [42], B-ProgrammingEnvironment of R",1108.0
Version_of,"B-Version of 19.0, B-Application of SPSS",1108.0
Version_of,"B-Version of 3.0.1, B-ProgrammingEnvironment of R",1108.0
Version_of,"B-Version of 20.0, B-Application of SPSS",1109.0
URL_of,"B-URL of https://github.com/MathCancer/PhysiCell/releases/latest, B-Application of PhysiCell",1110.0
Version_of,"B-Version of 1.2.2, B-Application of PhysiCell",1110.0
Version_of,"B-Version of 23, B-Application of SPSS Statistics",1111.0
Version_of,"B-Version of 24, B-Application of SPSS Statistics",1111.0
Developer_of,"B-Developer of IBM, B-Application of SPSS Statistics",1111.0
AlternativeName_of,"B-AlternativeName of Statistical Package for Social Sciences, B-Application of SPSS",1112.0
Version_of,"B-Version of 19, B-Application of SPSS",1112.0
URL_of,"B-URL of https://github.com/ruolin/strawberry, B-Application of Strawberry",1113.0
License_of,"B-License of MIT license, B-Application of Strawberry",1113.0
Citation_of,"B-Citation of [5], B-Application of CellProfiler",1114.0
Version_of,"B-Version of 23, B-Application of AMOS",1115.0
Version_of,"B-Version of 23, B-Application of SPSS",1115.0
Developer_of,"B-Developer of GraphPad Software, B-Application of Prism",1116.0
Version_of,"B-Version of 7.0, B-Application of Prism",1116.0
Developer_of,"B-Developer of GraphPad Software, B-Application of Prism",1116.0
Citation_of,"B-Citation of [40], B-Application of Prokaryotic Genomes Automatic Annotation Pipeline",1117.0
Abbreviation_of,"B-Abbreviation of PGAAP, B-Application of Prokaryotic Genomes Automatic Annotation Pipeline",1117.0
Developer_of,"B-Developer of NCBI, B-Application of Prokaryotic Genomes Automatic Annotation Pipeline",1117.0
Developer_of,"B-Developer of SPSS Inc ., B-Application of SPSS",1118.0
Version_of,"B-Version of 16.0, B-Application of SPSS",1118.0
Developer_of,"B-Developer of IBM, B-Application of SPSS",1119.0
Version_of,"B-Version of 20, B-Application of SPSS",1119.0
URL_of,"B-URL of www.podbat.org, B-Application of Podbat",1120.0
Version_of,"B-Version of 13, B-Application of Stata",1121.0
Developer_of,"B-Developer of StataCorp, B-Application of Stata",1121.0
Citation_of,"B-Citation of [20], B-Application of GRIMP",1122.0
License_of,"B-License of GNU General Public License, B-Application of Ensembler",1123.0
Version_of,"B-Version of 2, B-License of GNU General Public License",1123.0
Abbreviation_of,"B-Abbreviation of GPL, B-License of GNU General Public License",1123.0
Version_of,"B-Version of 3.3.2, B-Application of BEAGLE",1124.0
Citation_of,"B-Citation of [79], B-Application of BEAGLE",1124.0
Developer_of,"B-Developer of SPSS Inc, B-Application of SPSS",1125.0
Version_of,"B-Version of 19.0, B-Application of SPSS",1125.0
Specification_of,"B-Application of SPSS, B-Application of Statistical Package for the Social Sciences",1125.0
no_relation,"O of O, O of O",1126.0
Developer_of,"B-Developer of SAS Institute, B-Application of SAS",1127.0
Version_of,"B-Version of 9 ∙ 3, B-Application of SAS",1127.0
Developer_of,"B-Developer of SAS Institute, B-Application of JMP",1128.0
Version_of,"B-Version of 12, B-Application of JMP",1128.0
Developer_of,"B-Developer of GraphPad Software, B-Application of Prism",1129.0
Version_of,"B-Version of 4.0, B-Application of Prism",1129.0
Developer_of,"B-Developer of GraphPad Software, B-Application of Prism",1129.0
no_relation,"O of O, O of O",1130.0
no_relation,"O of O, O of O",1131.0
PlugIn_of,"B-PlugIn of edgeR, B-ProgrammingEnvironment of R",1132.0
PlugIn_of,"B-PlugIn of tximport, B-ProgrammingEnvironment of R",1132.0
Citation_of,"B-Citation of [53], B-PlugIn of edgeR",1132.0
Citation_of,"B-Citation of [52], B-PlugIn of tximport",1132.0
Citation_of,"B-Citation of [23], B-Application of MaxEnt",1133.0
Version_of,"B-Version of 3.3.3k, B-Application of MaxEnt",1133.0
Developer_of,"B-Developer of SPSS Inc ., B-Application of SPSS",1134.0
Version_of,"B-Version of 15.0, B-Application of SPSS",1134.0
Release_of,"B-Release of 2007, B-Application of SPSS",1134.0
Version_of,"B-Version of 3.11, B-Application of Arlequin",1135.0
Citation_of,"B-Citation of [51], B-Application of Arlequin",1135.0
Developer_of,"B-Developer of GraphPad, B-Application of Prism",1136.0
Version_of,"B-Version of 5.0, B-Application of Prism",1136.0
Version_of,"B-Version of 13.1, B-Application of Stata",1137.0
Developer_of,"B-Developer of Stata Corp LP, B-Application of Stata",1137.0
Developer_of,"B-Developer of IBM, B-Application of SPSS",1138.0
Version_of,"B-Version of 24.0.0.0, B-Application of SPSS",1138.0
Specification_of,"B-Application of SPSS, B-Application of Statistical Package for Social Sciences",1138.0
Developer_of,"B-Developer of Illumina, B-Application of GenomeStudio",1139.0
Version_of,"B-Version of 2.0, B-Application of GenomeStudio",1139.0
Citation_of,"B-Citation of [5], B-PlugIn of ggplot 2",1140.0
Version_of,"B-Version of 12.0, B-Application of STATA",1141.0
Developer_of,"B-Developer of Stata Corp, B-Application of STATA",1141.0
Version_of,"B-Version of 22, B-Application of SPSS Statistics",1142.0
Developer_of,"B-Developer of IBM, B-Application of SPSS Statistics",1142.0
Citation_of,"B-Citation of [37], B-ProgrammingEnvironment of R",1143.0
PlugIn_of,"B-PlugIn of lme 4, B-ProgrammingEnvironment of R",1143.0
Citation_of,"B-Citation of [38], B-PlugIn of lme 4",1143.0
Version_of,"B-Version of 3.3.1, B-ProgrammingEnvironment of R",1143.0
no_relation,"O of O, O of O",1144.0
Version_of,"B-Version of 2010, B-Application of Excel",1145.0
no_relation,"O of O, O of O",1146.0
URL_of,"B-URL of github.com / choderalab / ensembler, B-Application of Ensembler",1147.0
URL_of,"B-URL of https://github.com/guigolab/ggsashimi, B-Application of ggsashimi",1148.0
no_relation," of O,  of O",1149.0
Release_of,"B-Release of 2020, B-Application of TensorFlow",99.0
Release_of,"B-Release of 2018, B-Application of PyTorch",99.0
Release_of,"B-Release of R 2021a, B-ProgrammingEnvironment of MATLAB",99.0
Release_of,"B-Release of 2019, B-Application of Jupyter",99.0
Release_of,"B-Release of 2017, B-Application of Excel",99.0
Release_of,"B-Release of 2016, B-Application of Stata",99.0
Release_of,"B-Release of 2022, B-Application of Pandas",99.0
Release_of,"B-Release of R 2019b, B-ProgrammingEnvironment of MATLAB",99.0
Release_of,"B-Release of 2023, B-Application of Scikit-learn",99.0
Release_of,"B-Release of 2015, B-Application of NumPy",99.0
Release_of,"B-Release of 2014, B-Application of SciPy",99.0
Release_of,"B-Release of 2011, B-Application of RStudio",99.0
Release_of,"B-Release of 2013, B-Application of Mathematica",99.0
Release_of,"B-Release of 2021, B-Application of FastAPI",99.0
Release_of,"B-Release of R 2012a, B-ProgrammingEnvironment of MATLAB",99.0
Release_of,"B-Release of 2010, B-Application of SPSS Statistics",99.0
Release_of,"B-Release of 2018, B-Application of Tableau",99.0
Release_of,"B-Release of 2016, B-Application of KNIME",99.0
Release_of,"B-Release of 2009, B-Application of SAS",99.0
Release_of,"B-Release of 2008, B-Application of Power BI",99.0
Release_of,"B-Release of 2007, B-Application of Google Sheets",99.0
Release_of,"B-Release of 2022, B-Application of PyCaret",99.0
Release_of,"B-Release of 2023, B-Application of LangChain",99.0
Release_of,"B-Release of 2011, B-Application of JMP",99.0
Release_of,"B-Release of 2014, B-Application of Alteryx",99.0
Release_of,"B-Release of 2020, B-Application of Azure ML",99.0
Release_of,"B-Release of 2015, B-Application of IBM SPSS Modeler",99.0
Release_of,"B-Release of R 2022b, B-ProgrammingEnvironment of MATLAB",99.0
Release_of,"B-Release of 2017, B-Application of Julia",99.0
Release_of,"B-Release of 2019, B-Application of BigQuery",99.0
Release_of,"B-Release of 2013, B-Application of GAMS",99.0
Release_of,"B-Release of 2006, B-Application of Minitab",99.0
Release_of,"B-Release of 2021, B-Application of Hugging Face Transformers",99.0
Release_of,"B-Release of 2018, B-Application of Anaconda",99.0
Release_of,"B-Release of 2012, B-Application of Weka",99.0
Release_of,"B-Release of 2005, B-Application of SPSS",99.0
Release_of,"B-Release of 2003, B-Application of LaTeX",99.0
Release_of,"B-Release of 2016, B-Application of Scrapy",99.0
Release_of,"B-Release of 2019, B-Application of Selenium",99.0
Release_of,"B-Release of 2009, B-Application of RapidMiner",99.0
Release_of,"B-Release of 2014, B-Application of TensorBoard",99.0
Release_of,"B-Release of 2017, B-Application of Dask",99.0
Release_of,"B-Release of 2021, B-Application of Apache Spark",99.0
Release_of,"B-Release of 2015, B-Application of Docker",99.0
Release_of,"B-Release of 2012, B-Application of GraphLab Create",99.0
Release_of,"B-Release of 2010, B-Application of MATLAB Compiler",99.0
Release_of,"B-Release of 2023, B-Application of AutoGPT",99.0
Release_of,"B-Release of R 2020a, B-ProgrammingEnvironment of MATLAB",99.0
Release_of,"B-Release of 2011, B-Application of SQL Server",99.0
Release_of,"B-Release of 2016, B-Application of PostgreSQL",99.0
Release_of,"B-Release of 2022, B-Application of Neo4j",99.0
Release_of,"B-Release of 2014, B-Application of Hadoop",99.0
Release_of,"B-Release of 2019, B-Application of TensorRT",99.0
Release_of,"B-Release of 2008, B-Application of CUDA",99.0
Release_of,"B-Release of 2021, B-Application of NVIDIA Triton",99.0
Release_of,"B-Release of 2017, B-Application of IBM Watson",99.0
Release_of,"B-Release of 2020, B-Application of Snowflake",99.0
Release_of,"B-Release of 2015, B-Application of Google Cloud ML",99.0
Release_of,"B-Release of 2012, B-Application of AWS SageMaker",99.0
Release_of,"B-Release of 2023, B-Application of OpenAI API",99.0
Release_of,"B-Release of 2018, B-Application of H2O.ai",99.0
Release_of,"B-Release of 2016, B-Application of Keras",99.0
Release_of,"B-Release of 2019, B-Application of ONNX",99.0
Release_of,"B-Release of 2021, B-Application of Ludwig",99.0
Release_of,"B-Release of 2017, B-Application of Streamlit",99.0
Release_of,"B-Release of 2014, B-Application of Pyro",99.0
Release_of,"B-Release of 2022, B-Application of Hugging Face Datasets",99.0
Release_of,"B-Release of 2023, B-Application of Stable Diffusion",99.0
Release_of,"B-Release of 2011, B-Application of SciKit-Image",99.0
Release_of,"B-Release of 2020, B-Application of JAX",99.0
Release_of,"B-Release of 2013, B-Application of GPy",99.0
Release_of,"B-Release of 2018, B-Application of XGBoost",99.0
Release_of,"B-Release of 2021, B-Application of LightGBM",99.0
Release_of,"B-Release of 2022, B-Application of CatBoost",99.0
Release_of,"B-Release of 2019, B-Application of Fastai",99.0
Release_of,"B-Release of 2016, B-Application of Orange3",99.0
Release_of,"B-Release of 2012, B-Application of ROOT",99.0
Release_of,"B-Release of 2015, B-Application of JuliaDB",99.0
Release_of,"B-Release of 2010, B-Application of OpenCV",99.0
Release_of,"B-Release of 2020, B-Application of PyMC3",99.0
Release_of,"B-Release of 2017, B-Application of Optuna",99.0
Release_of,"B-Release of 2018, B-Application of Hyperopt",99.0
Abbreviation_of,"B-Abbreviation of NLP, B-Application of Natural Language Processing",99.0
Abbreviation_of,"B-Abbreviation of CV, B-Application of Computer Vision",99.0
Abbreviation_of,"B-Abbreviation of AI, B-Application of Artificial Intelligence",99.0
Abbreviation_of,"B-Abbreviation of ML, B-Application of Machine Learning",99.0
Abbreviation_of,"B-Abbreviation of DL, B-Application of Deep Learning",99.0
Abbreviation_of,"B-Abbreviation of LLM, B-Application of Large Language Model",99.0
Abbreviation_of,"B-Abbreviation of CNN, B-Application of Convolutional Neural Network",99.0
Abbreviation_of,"B-Abbreviation of RNN, B-Application of Recurrent Neural Network",99.0
Abbreviation_of,"B-Abbreviation of GAN, B-Application of Generative Adversarial Network",99.0
Abbreviation_of,"B-Abbreviation of LSTM, B-Application of Long Short-Term Memory",99.0
Abbreviation_of,"B-Abbreviation of GRU, B-Application of Gated Recurrent Unit",99.0
Abbreviation_of,"B-Abbreviation of BERT, B-Application of Bidirectional Encoder Representations from Transformers",99.0
Abbreviation_of,"B-Abbreviation of GPT, B-Application of Generative Pre-trained Transformer",99.0
Abbreviation_of,"B-Abbreviation of DNN, B-Application of Deep Neural Network",99.0
Abbreviation_of,"B-Abbreviation of HMM, B-Application of Hidden Markov Model",99.0
Abbreviation_of,"B-Abbreviation of SVM, B-Application of Support Vector Machine",99.0
Abbreviation_of,"B-Abbreviation of PCA, B-Application of Principal Component Analysis",99.0
Abbreviation_of,"B-Abbreviation of ICA, B-Application of Independent Component Analysis",99.0
Abbreviation_of,"B-Abbreviation of NMF, B-Application of Non-negative Matrix Factorization",99.0
Abbreviation_of,"B-Abbreviation of RBM, B-Application of Restricted Boltzmann Machine",99.0
Abbreviation_of,"B-Abbreviation of DBN, B-Application of Deep Belief Network",99.0
Abbreviation_of,"B-Abbreviation of TF-IDF, B-Application of Term Frequency-Inverse Document Frequency",99.0
Abbreviation_of,"B-Abbreviation of POS, B-Application of Part-of-Speech Tagging",99.0
Abbreviation_of,"B-Abbreviation of NER, B-Application of Named Entity Recognition",99.0
Abbreviation_of,"B-Abbreviation of OCR, B-Application of Optical Character Recognition",99.0
Abbreviation_of,"B-Abbreviation of ASR, B-Application of Automatic Speech Recognition",99.0
Abbreviation_of,"B-Abbreviation of TTS, B-Application of Text-to-Speech",99.0
Abbreviation_of,"B-Abbreviation of STT, B-Application of Speech-to-Text",99.0
Abbreviation_of,"B-Abbreviation of FSL, B-Application of Few-Shot Learning",99.0
Abbreviation_of,"B-Abbreviation of SSL, B-Application of Self-Supervised Learning",99.0
Abbreviation_of,"B-Abbreviation of RL, B-Application of Reinforcement Learning",99.0
Abbreviation_of,"B-Abbreviation of DDPG, B-Application of Deep Deterministic Policy Gradient",99.0
Abbreviation_of,"B-Abbreviation of PPO, B-Application of Proximal Policy Optimization",99.0
Abbreviation_of,"B-Abbreviation of A2C, B-Application of Advantage Actor-Critic",99.0
Abbreviation_of,"B-Abbreviation of TD3, B-Application of Twin Delayed Deep Deterministic Policy Gradient",99.0
Abbreviation_of,"B-Abbreviation of SAC, B-Application of Soft Actor-Critic",99.0
Abbreviation_of,"B-Abbreviation of FID, B-Application of Fréchet Inception Distance",99.0
Abbreviation_of,"B-Abbreviation of BLEU, B-Application of Bilingual Evaluation Understudy Score",99.0
Abbreviation_of,"B-Abbreviation of ROUGE, B-Application of Recall-Oriented Understudy for Gisting Evaluation",99.0
Abbreviation_of,"B-Abbreviation of METEOR, B-Application of Metric for Evaluation of Translation with Explicit ORdering",99.0
